                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2578,                 1.1269,                 1.0115,                0.69754,                0.33723,                 0.3486,                0.22045,                 1.3831,                 1.6834,                 1.0936,             0.00082925,             0.00082925,             0.00082925
                     36,                  1.253,                 1.0888,                 1.0007,                0.67704,                0.37459,                0.37605,                0.24129,                 1.3677,                 1.5981,                 1.0939,             0.00081688,             0.00081688,             0.00081688
                     37,                 1.2461,                  1.099,                0.99912,                0.70164,                0.37158,                0.37952,                 0.2443,                 1.3404,                 1.5774,                 1.0805,              0.0008045,              0.0008045,              0.0008045
                     38,                 1.2532,                 1.0677,                 1.0026,                0.61972,                0.42265,                0.36977,                0.23386,                 1.4271,                 1.5807,                 1.1057,             0.00079213,             0.00079213,             0.00079213
                     39,                 1.2218,                 1.0493,                0.98994,                0.62901,                0.37329,                0.36289,                 0.2395,                 1.3769,                 1.6566,                  1.109,             0.00077975,             0.00077975,             0.00077975
                     40,                  1.209,                 1.0354,                0.98228,                0.63809,                0.35158,                0.33855,                0.21709,                 1.3696,                 1.7486,                 1.0964,             0.00076738,             0.00076738,             0.00076738
                     41,                  1.202,                  1.015,                0.97946,                0.68331,                0.37357,                0.37297,                0.23475,                 1.3655,                  1.647,                 1.1015,               0.000755,               0.000755,               0.000755
                     42,                 1.2051,                 1.0173,                 0.9963,                0.63951,                 0.3462,                0.34867,                0.22545,                 1.3781,                 1.7836,                    1.1,             0.00074263,             0.00074263,             0.00074263
                     43,                 1.2024,                 0.9894,                0.98142,                0.64543,                0.39995,                0.36308,                0.23249,                 1.3577,                 1.7391,                 1.1003,             0.00073025,             0.00073025,             0.00073025
                     44,                 1.1826,                0.99111,                0.97279,                0.62788,                0.38366,                0.37217,                0.24277,                 1.3752,                 1.6894,                 1.1016,             0.00071788,             0.00071788,             0.00071788
                     45,                 1.1935,                0.99417,                0.97459,                0.61362,                0.38008,                0.36324,                0.24174,                 1.3935,                 1.6853,                 1.1139,              0.0007055,              0.0007055,              0.0007055
                     46,                 1.1628,                0.96161,                0.97221,                0.63873,                0.37277,                0.35286,                0.23428,                  1.378,                 1.7364,                 1.1094,             0.00069313,             0.00069313,             0.00069313
