                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3604,                 1.1942,                 1.2722,                0.64067,                0.36736,                0.36187,                0.22984,                 1.4152,                 1.7532,                 1.4143,             0.00084162,             0.00084162,             0.00084162
                     35,                 1.3524,                 1.2118,                 1.2856,                0.61936,                0.37418,                 0.3536,                0.21583,                 1.4346,                 1.8303,                 1.4507,             0.00082925,             0.00082925,             0.00082925
                     36,                 1.3354,                 1.1579,                 1.2675,                   0.66,                0.33714,                 0.3605,                0.23208,                 1.4359,                 1.7512,                 1.4311,             0.00081688,             0.00081688,             0.00081688
                     37,                   1.32,                 1.1748,                 1.2645,                0.64918,                0.35344,                0.35955,                0.23496,                 1.4535,                 1.7886,                 1.4596,              0.0008045,              0.0008045,              0.0008045
                     38,                 1.3184,                 1.1311,                 1.2448,                0.65627,                0.36313,                0.36353,                0.22512,                 1.4519,                 1.7192,                  1.443,             0.00079213,             0.00079213,             0.00079213
                     39,                 1.2856,                 1.1187,                 1.2343,                  0.701,                0.34798,                0.36027,                0.23334,                 1.4235,                 1.7617,                 1.4241,             0.00077975,             0.00077975,             0.00077975
                     40,                 1.2933,                 1.1082,                 1.2353,                0.62937,                0.40265,                0.37228,                0.24299,                 1.4129,                 1.7665,                 1.4164,             0.00076738,             0.00076738,             0.00076738
                     41,                 1.2714,                 1.0816,                 1.2243,                0.70063,                0.34974,                0.36538,                0.22977,                 1.4193,                 1.7668,                 1.4209,               0.000755,               0.000755,               0.000755
                     42,                 1.2757,                 1.0736,                 1.2402,                0.64693,                0.35154,                0.34932,                0.21463,                 1.4536,                 1.9173,                 1.4349,             0.00074263,             0.00074263,             0.00074263
                     43,                 1.2688,                 1.0552,                 1.2249,                  0.672,                0.34676,                0.36379,                0.23749,                  1.426,                 1.8375,                 1.4306,             0.00073025,             0.00073025,             0.00073025
                     44,                 1.2579,                 1.0678,                 1.2094,                 0.6376,                0.37426,                0.36546,                0.23438,                 1.4056,                 1.7758,                 1.4065,             0.00071788,             0.00071788,             0.00071788
                     45,                 1.2602,                 1.0467,                 1.2054,                0.67401,                0.35532,                 0.3744,                0.24519,                  1.429,                 1.7149,                 1.4255,              0.0007055,              0.0007055,              0.0007055
                     46,                 1.2289,                 1.0276,                 1.2032,                 0.6722,                0.38455,                0.36909,                0.24243,                  1.412,                 1.7538,                  1.429,             0.00069313,             0.00069313,             0.00069313
                     47,                 1.2135,                0.98937,                 1.1846,                0.60494,                0.41285,                0.35547,                0.22787,                 1.4373,                 1.8129,                 1.4315,             0.00068075,             0.00068075,             0.00068075
                     48,                 1.2289,                0.99619,                 1.1977,                0.64129,                 0.3888,                0.36508,                0.22967,                 1.4291,                 1.8372,                 1.4343,             0.00066838,             0.00066838,             0.00066838
                     49,                 1.2257,                0.97895,                 1.1986,                0.66806,                0.36167,                0.35969,                0.22584,                 1.4435,                 1.7952,                 1.4375,               0.000656,               0.000656,               0.000656
                     50,                 1.2189,                0.97944,                 1.1825,                0.65089,                0.39751,                0.36349,                0.23473,                 1.4252,                 1.7844,                 1.4327,             0.00064362,             0.00064362,             0.00064362
                     51,                 1.2107,                0.95739,                 1.1804,                 0.6703,                0.35167,                 0.3603,                0.23587,                 1.4448,                 1.8321,                 1.4375,             0.00063125,             0.00063125,             0.00063125
                     52,                 1.2015,                0.94835,                  1.171,                0.69661,                0.34901,                0.36326,                0.23584,                 1.4105,                 1.7902,                 1.4204,             0.00061887,             0.00061887,             0.00061887
                     53,                 1.1764,                 0.9428,                 1.1743,                0.66369,                0.38161,                0.36973,                0.24367,                 1.4013,                 1.8031,                 1.4133,              0.0006065,              0.0006065,              0.0006065
                     54,                 1.1848,                0.92463,                 1.1652,                0.63768,                 0.3937,                 0.3755,                0.24915,                 1.4324,                 1.7856,                 1.4215,             0.00059413,             0.00059413,             0.00059413
                     55,                 1.1821,                0.93545,                 1.1714,                  0.643,                0.37748,                0.35321,                0.22579,                 1.3985,                 1.7934,                 1.3937,             0.00058175,             0.00058175,             0.00058175
                     56,                  1.181,                0.91971,                 1.1677,                0.74288,                0.33258,                0.36583,                0.23735,                  1.414,                 1.8347,                 1.4195,             0.00056938,             0.00056938,             0.00056938
                     57,                 1.1491,                0.90564,                 1.1515,                0.68872,                0.37111,                0.36569,                0.24099,                 1.4148,                 1.8129,                 1.4117,               0.000557,               0.000557,               0.000557
                     58,                 1.1636,                0.90343,                 1.1572,                0.67345,                0.36508,                0.36039,                 0.2316,                 1.4327,                 1.8482,                 1.4272,             0.00054463,             0.00054463,             0.00054463
                     59,                 1.1466,                 0.8906,                 1.1563,                0.68295,                0.34948,                0.36217,                0.24027,                  1.422,                  1.798,                 1.4233,             0.00053225,             0.00053225,             0.00053225
                     60,                   1.14,                0.87409,                 1.1499,                0.65888,                0.39096,                0.36182,                0.23928,                 1.4268,                 1.8652,                 1.4262,             0.00051988,             0.00051988,             0.00051988
                     61,                 1.1302,                0.85657,                 1.1359,                0.71604,                0.36187,                0.37171,                0.24127,                 1.4138,                 1.8359,                 1.4232,              0.0005075,              0.0005075,              0.0005075
                     62,                 1.1158,                0.84077,                 1.1269,                0.69131,                0.37375,                0.36631,                 0.2506,                  1.408,                 1.7936,                 1.4163,             0.00049513,             0.00049513,             0.00049513
                     63,                 1.1098,                0.83688,                 1.1248,                0.72012,                0.33374,                0.36145,                0.24257,                 1.4081,                 1.9111,                 1.4103,             0.00048275,             0.00048275,             0.00048275
                     64,                 1.1129,                0.85425,                 1.1324,                0.66773,                0.38517,                0.36481,                0.23695,                 1.4262,                 1.8991,                 1.4128,             0.00047038,             0.00047038,             0.00047038
                     65,                 1.0938,                0.82281,                 1.1177,                0.66611,                0.38116,                0.37394,                0.24608,                  1.465,                  1.911,                  1.441,               0.000458,               0.000458,               0.000458
                     66,                 1.1016,                0.82041,                 1.1218,                0.65192,                0.37737,                0.37262,                0.24649,                 1.4239,                 1.8818,                 1.4255,             0.00044563,             0.00044563,             0.00044563
                     67,                 1.0898,                0.82762,                  1.118,                0.69886,                0.33565,                0.35491,                0.23008,                 1.4367,                 1.9012,                 1.4348,             0.00043325,             0.00043325,             0.00043325
                     68,                 1.0791,                0.83012,                 1.1144,                0.64672,                0.38611,                0.36298,                0.24033,                 1.4058,                 1.8971,                 1.4248,             0.00042087,             0.00042087,             0.00042087
                     69,                 1.0848,                0.78776,                 1.1167,                 0.6283,                0.37779,                0.37144,                0.24979,                 1.4169,                 1.9112,                 1.4223,              0.0004085,              0.0004085,              0.0004085
                     70,                 1.0778,                0.80067,                 1.1142,                 0.6959,                0.34672,                0.37264,                0.24673,                  1.427,                 1.9375,                 1.4345,             0.00039613,             0.00039613,             0.00039613
                     71,                 1.0567,                0.78652,                 1.0962,                0.71873,                0.33919,                0.36645,                0.24964,                 1.4094,                 1.9361,                 1.4143,             0.00038375,             0.00038375,             0.00038375
                     72,                 1.0602,                0.77457,                 1.1098,                0.65091,                0.36447,                0.37542,                0.24773,                 1.4359,                 1.9278,                 1.4348,             0.00037138,             0.00037138,             0.00037138
                     73,                 1.0525,                0.77396,                 1.0938,                 0.6772,                0.35772,                0.37355,                0.25322,                  1.422,                 1.9009,                 1.4276,               0.000359,               0.000359,               0.000359
