                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0125,                  1.049,                 1.0701,                0.24206,                0.30612,                0.23928,                0.16067,                 1.1822,                 1.7665,                 1.3015,              0.0011059,              0.0011059,              0.0011059
                     36,                0.97792,                 1.0458,                 1.0453,                0.21332,                0.32651,                0.23243,                0.15116,                 1.1131,                 1.6637,                 1.2434,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.0095,                 1.0598,                 1.0512,                0.77043,                0.25846,                0.25412,                0.18348,                 1.0863,                 1.6245,                  1.246,              0.0010729,              0.0010729,              0.0010729
                     38,                0.99962,                 1.0552,                 1.0476,                 0.2256,                0.30612,                0.23301,                0.15892,                 1.1426,                 1.7438,                  1.284,              0.0010564,              0.0010564,              0.0010564
                     39,                0.99249,                 1.0424,                  1.052,                0.77502,                0.27041,                0.24702,                0.17186,                 1.1358,                 1.5904,                 1.2612,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.0136,                 1.0119,                 1.0565,                0.75567,                0.26531,                 0.2357,                0.16336,                 1.1509,                 1.7446,                 1.2395,              0.0010234,              0.0010234,              0.0010234
                     41,                 0.9591,                 0.9755,                 1.0324,                 0.7408,                0.34184,                0.26753,                0.18123,                 1.2141,                 1.5427,                 1.3261,              0.0010069,              0.0010069,              0.0010069
                     42,                0.94098,                 1.0282,                 1.0294,                0.77327,                0.27058,                0.25866,                0.17736,                 1.0497,                 1.6062,                 1.2262,             0.00099036,             0.00099036,             0.00099036
                     43,                0.95093,                0.93722,                 1.0479,                0.75404,                0.27551,                0.23554,                0.15144,                 1.2291,                 1.8448,                 1.3398,             0.00097386,             0.00097386,             0.00097386
                     44,                0.95774,                0.98061,                 1.0275,                0.72563,                0.32653,                0.24063,                0.16873,                 1.1301,                 1.6501,                  1.227,             0.00095736,             0.00095736,             0.00095736
                     45,                0.91903,                0.93365,                 1.0249,                0.21474,                0.34694,                0.25904,                0.17966,                 1.1055,                 1.6267,                 1.2819,             0.00094085,             0.00094085,             0.00094085
                     46,                0.90535,                0.92464,                 1.0072,                0.23126,                0.32052,                0.25178,                0.17115,                 1.1197,                 1.4867,                 1.2567,             0.00092435,             0.00092435,             0.00092435
                     47,                0.92723,                0.96364,                 1.0315,                0.74229,                0.29592,                0.24378,                0.17337,                 1.1363,                 1.6396,                 1.2908,             0.00090785,             0.00090785,             0.00090785
                     48,                 0.9202,                0.93806,                 1.0161,                0.73288,                0.31122,                0.25258,                0.16633,                 1.1546,                 1.6817,                  1.321,             0.00089134,             0.00089134,             0.00089134
                     49,                0.90524,                0.89859,                 1.0034,                0.73959,                0.29082,                0.22717,                0.16064,                 1.0878,                 1.8548,                 1.2641,             0.00087484,             0.00087484,             0.00087484
                     50,                0.91165,                0.89982,                 1.0077,                0.24509,                 0.2602,                0.24846,                0.17927,                 1.1326,                 1.7235,                 1.2634,             0.00085834,             0.00085834,             0.00085834
                     51,                0.87749,                0.87581,                0.99208,                0.75477,                0.30102,                 0.2629,                0.18364,                 1.1677,                 1.6836,                 1.2513,             0.00084184,             0.00084184,             0.00084184
                     52,                0.88207,                0.88906,                0.99955,                0.75821,                0.26531,                0.26326,                0.18915,                 1.0979,                 1.5361,                 1.2395,             0.00082533,             0.00082533,             0.00082533
                     53,                0.90687,                0.89624,                 1.0049,                 0.7309,                0.31633,                0.25199,                0.17695,                 1.0974,                 1.5203,                 1.2861,             0.00080883,             0.00080883,             0.00080883
                     54,                0.88945,                0.86048,                 1.0036,                0.23033,                0.30102,                0.23052,                0.16196,                 1.1021,                 1.6234,                 1.2658,             0.00079233,             0.00079233,             0.00079233
                     55,                0.90717,                 0.8888,                0.98517,                0.74845,                0.30102,                0.24811,                0.17458,                  1.087,                 1.6031,                 1.2831,             0.00077582,             0.00077582,             0.00077582
                     56,                  0.876,                0.84531,                0.98731,                 0.7118,                0.35995,                0.24844,                0.18125,                 1.0025,                  1.638,                 1.1903,             0.00075932,             0.00075932,             0.00075932
                     57,                0.86926,                0.88469,                0.99803,                0.73546,                0.33605,                0.26076,                0.18399,                 1.0384,                 1.5077,                 1.2463,             0.00074282,             0.00074282,             0.00074282
                     58,                 0.8757,                0.85611,                  1.001,                0.76454,                 0.2602,                0.26644,                0.18763,                 1.1258,                 1.7754,                 1.2782,             0.00072631,             0.00072631,             0.00072631
                     59,                 0.8702,                0.81555,                  0.983,                0.20404,                0.37245,                0.24071,                0.16624,                 1.0424,                 1.5745,                 1.2083,             0.00070981,             0.00070981,             0.00070981
                     60,                0.84707,                0.84546,                0.97059,                0.76084,                0.27551,                0.24947,                 0.1699,                  1.068,                 1.7488,                 1.2588,             0.00069331,             0.00069331,             0.00069331
                     61,                 0.8568,                  0.828,                0.99123,                0.72443,                0.30102,                0.23018,                0.15891,                 1.0644,                  1.998,                 1.2436,              0.0006768,              0.0006768,              0.0006768
                     62,                0.83341,                 0.7989,                0.97062,                0.76781,                0.31122,                0.26208,                0.18249,                 1.0189,                 1.6957,                 1.2309,              0.0006603,              0.0006603,              0.0006603
                     63,                0.83959,                0.78697,                0.96143,                0.74156,                0.31633,                0.26574,                0.19276,                 1.0183,                 1.8296,                 1.2109,              0.0006438,              0.0006438,              0.0006438
                     64,                0.84695,                0.76876,                0.98243,                 0.7484,                0.33163,                0.26038,                0.18876,                 1.0262,                 1.7331,                 1.1872,             0.00062729,             0.00062729,             0.00062729
                     65,                0.81914,                0.77871,                0.97523,                0.74388,                0.32064,                0.26922,                 0.1898,                 1.0599,                 1.6478,                 1.2528,             0.00061079,             0.00061079,             0.00061079
                     66,                 0.8054,                0.74951,                0.95244,                0.27016,                0.30612,                0.28937,                0.20809,                 1.0658,                 1.6346,                 1.2298,             0.00059429,             0.00059429,             0.00059429
                     67,                0.82032,                0.77214,                0.97219,                0.76303,                0.31633,                0.28765,                0.20214,                  1.066,                 1.3954,                 1.2464,             0.00057778,             0.00057778,             0.00057778
                     68,                 0.8045,                0.73275,                0.97083,                0.24217,                0.31633,                0.24144,                0.16818,                 1.0851,                 1.6643,                 1.2608,             0.00056128,             0.00056128,             0.00056128
                     69,                0.77769,                0.74664,                0.94435,                0.76335,                0.29592,                0.24592,                0.17256,                 1.0265,                 1.6455,                  1.223,             0.00054478,             0.00054478,             0.00054478
                     70,                0.79191,                0.71839,                0.95656,                0.74718,                0.31427,                0.25956,                 0.1863,                 1.0205,                 1.6454,                 1.1933,             0.00052827,             0.00052827,             0.00052827
                     71,                0.79466,                0.73922,                0.95022,                0.75176,                0.30612,                 0.2554,                0.18866,                 1.0295,                 1.6489,                 1.2206,             0.00051177,             0.00051177,             0.00051177
                     72,                0.82328,                0.73048,                0.98052,                0.77602,                0.27041,                0.25806,                 0.1822,                 1.1068,                 1.8511,                 1.2915,             0.00049527,             0.00049527,             0.00049527
                     73,                0.80815,                0.73162,                0.94576,                0.76825,                0.31122,                0.27871,                0.19496,                 1.0716,                 1.5593,                 1.2501,             0.00047876,             0.00047876,             0.00047876
                     74,                0.78965,                0.68723,                0.95243,                0.71281,                0.34404,                0.25285,                0.17739,                  1.129,                 1.6245,                  1.299,             0.00046226,             0.00046226,             0.00046226
                     75,                0.78679,                0.72956,                0.96067,                0.74996,                0.33163,                0.27684,                0.19719,                 1.0483,                 1.4821,                 1.2503,             0.00044576,             0.00044576,             0.00044576
                     76,                0.77448,                0.70287,                0.94488,                0.76121,                0.30612,                0.27346,                0.19746,                0.99867,                 1.5308,                 1.2106,             0.00042925,             0.00042925,             0.00042925
                     77,                0.77187,                 0.6758,                0.94312,                0.76622,                0.29592,                0.25985,                0.18461,                 0.9978,                 1.5917,                 1.1966,             0.00041275,             0.00041275,             0.00041275
                     78,                0.78268,                0.70499,                0.93666,                0.75699,                0.32653,                0.25223,                0.18312,                0.96571,                 1.6058,                 1.1867,             0.00039625,             0.00039625,             0.00039625
                     79,                0.77813,                0.69045,                0.94257,                0.74242,                0.29592,                0.24064,                0.17183,                 1.0647,                 1.6795,                 1.2278,             0.00037974,             0.00037974,             0.00037974
                     80,                0.74787,                0.67707,                0.93814,                0.75301,                0.28571,                0.25214,                0.18541,                 1.0594,                 1.8542,                 1.2613,             0.00036324,             0.00036324,             0.00036324
                     81,                0.76452,                0.67308,                0.94302,                0.75636,                0.29527,                0.26507,                 0.1908,                 1.0192,                  1.626,                 1.2258,             0.00034674,             0.00034674,             0.00034674
                     82,                0.72792,                 0.6365,                0.92342,                0.22423,                0.38776,                0.26891,                0.19293,                 1.0333,                 1.5796,                 1.2148,             0.00033023,             0.00033023,             0.00033023
                     83,                0.74569,                0.64731,                0.92821,                0.23161,                0.37245,                0.27689,                0.19899,                 1.0578,                 1.6297,                 1.2286,             0.00031373,             0.00031373,             0.00031373
                     84,                0.74041,                0.67291,                0.91257,                0.74237,                0.32143,                0.27441,                0.19686,                 1.0416,                 1.5006,                 1.2247,             0.00029723,             0.00029723,             0.00029723
                     85,                0.72775,                0.62396,                 0.9224,                0.74672,                0.33673,                0.26742,                0.19297,                 1.0848,                 1.6612,                 1.2529,             0.00028072,             0.00028072,             0.00028072
                     86,                0.72595,                 0.6292,                0.93046,                0.77634,                0.30102,                0.26637,                0.18452,                 1.0595,                 1.6012,                   1.25,             0.00026422,             0.00026422,             0.00026422
                     87,                0.73429,                0.62324,                 0.9112,                0.76743,                0.31633,                0.27343,                0.18911,                 1.0545,                 1.5823,                 1.2368,             0.00024772,             0.00024772,             0.00024772
                     88,                0.71582,                0.64199,                0.92071,                0.74069,                 0.3694,                 0.2769,                0.19045,                 1.0396,                 1.5011,                 1.2306,             0.00023121,             0.00023121,             0.00023121
                     89,                0.72519,                0.61363,                0.91173,                0.29846,                0.34001,                0.26336,                0.18509,                 1.0466,                 1.6683,                 1.2171,             0.00021471,             0.00021471,             0.00021471
                     90,                0.71026,                0.61179,                0.92795,                0.76159,                0.32469,                0.25756,                0.18491,                 0.9942,                  1.567,                 1.2026,             0.00019821,             0.00019821,             0.00019821
                     91,                0.69162,                0.62647,                 0.9356,                0.73867,                0.30754,                0.24325,                0.17458,                 1.0088,                 1.7391,                 1.2076,              0.0001817,              0.0001817,              0.0001817
                     92,                0.68212,                0.57073,                 0.9264,                0.75071,                0.30102,                0.24903,                0.17774,                 1.0178,                 1.7042,                 1.2156,              0.0001652,              0.0001652,              0.0001652
                     93,                0.68032,                0.54642,                0.90261,                0.76438,                0.28052,                0.24186,                0.17467,                 1.0218,                 1.6876,                 1.2136,              0.0001487,              0.0001487,              0.0001487
                     94,                0.66994,                0.53591,                0.92237,                0.77947,                0.28061,                0.24914,                 0.1746,                  1.046,                  1.767,                  1.242,             0.00013219,             0.00013219,             0.00013219
                     95,                0.66394,                0.53045,                0.90764,                0.75123,                0.32653,                0.24455,                0.17448,                 1.0229,                  1.775,                 1.2264,             0.00011569,             0.00011569,             0.00011569
                     96,                0.66011,                0.55278,                 0.9178,                0.22472,                0.34694,                0.24258,                0.17376,                 1.0268,                 1.8067,                 1.2335,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.65217,                0.52843,                0.91525,                0.75039,                0.32143,                0.24826,                0.17641,                 1.0219,                 1.8177,                 1.2222,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.67308,                0.53842,                0.91762,                0.74461,                0.32143,                0.25338,                0.18053,                  1.003,                 1.7403,                 1.2282,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.63744,                0.49761,                0.88739,                0.74529,                0.33163,                0.25759,                0.18147,                 1.0062,                 1.6458,                 1.2349,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.64272,                0.50702,                0.89781,                0.75305,                0.34184,                0.26201,                0.18639,                  1.024,                 1.6775,                 1.2441,             3.3173e-05,             3.3173e-05,             3.3173e-05
