                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1615,                 1.3071,                  1.555,                0.70609,                0.35714,                  0.224,                0.13782,                 1.4225,                 1.7943,                 1.9979,              0.0011059,              0.0011059,              0.0011059
                     36,                  1.145,                 1.3046,                 1.5474,                0.71714,                0.27041,                0.21098,                0.14349,                 1.3142,                 1.9445,                 1.9032,              0.0010894,              0.0010894,              0.0010894
                     37,                  1.143,                 1.3095,                 1.5232,                0.72487,                0.27106,                0.22906,                0.14158,                 1.3692,                 1.9239,                 1.9815,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.1214,                 1.3125,                   1.51,                0.71185,                0.34694,                0.24792,                0.16612,                 1.2425,                 1.6347,                 1.8472,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.1278,                 1.2666,                 1.5011,                0.73573,                0.29592,                0.24249,                0.15399,                 1.3711,                 1.7535,                 2.0271,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.1285,                 1.1754,                 1.4982,                 0.7229,                0.27551,                0.23411,                0.15336,                 1.2585,                 2.1264,                 1.8666,              0.0010234,              0.0010234,              0.0010234
                     41,                  1.099,                 1.2217,                 1.4679,                0.71448,                 0.3296,                0.22923,                0.15394,                 1.2444,                 1.7162,                 1.8582,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.1118,                 1.2764,                    1.5,                0.69995,                0.23469,                0.18681,                0.12954,                  1.447,                 2.2374,                 2.0625,             0.00099036,             0.00099036,             0.00099036
                     43,                  1.091,                 1.1546,                  1.495,                0.21687,                0.32437,                0.24012,                0.15553,                 1.4754,                 1.9741,                 2.1059,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.0861,                 1.1818,                 1.4568,                0.77249,                0.28722,                0.25355,                0.16484,                   1.27,                 1.7205,                 1.9172,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.0621,                  1.158,                 1.4528,                0.19928,                0.34184,                0.23556,                0.16149,                 1.1947,                 1.6491,                 1.8156,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.0363,                 1.1511,                 1.4283,                0.25907,                0.32369,                0.25803,                 0.1722,                 1.3094,                 1.6041,                 1.9077,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.0605,                 1.1871,                 1.4644,                0.70956,                0.34694,                0.24324,                0.16719,                 1.3089,                 1.6278,                 1.8942,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.0752,                 1.1588,                 1.4464,                0.25168,                0.31122,                0.26082,                0.17187,                  1.271,                 1.6632,                 1.8691,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.0466,                 1.1165,                 1.4279,                0.74077,                0.29854,                0.24171,                0.15736,                 1.2268,                  1.759,                 1.8912,             0.00087484,             0.00087484,             0.00087484
                     50,                  1.036,                  1.115,                 1.4224,                0.27853,                0.26308,                0.26058,                0.16706,                 1.2625,                 1.6186,                 1.8705,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.0142,                 1.0525,                 1.4003,                0.72293,                0.34184,                0.24641,                0.17268,                 1.2407,                  1.745,                 1.8286,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.0103,                 1.0485,                 1.3999,                0.69492,                0.33673,                0.24071,                0.16657,                 1.2543,                 1.9471,                 1.8227,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.0134,                  1.064,                 1.3845,                0.78038,                0.30102,                0.26037,                0.17871,                 1.2079,                 1.7037,                 1.8078,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.0022,                 1.0269,                 1.3905,                0.76563,                0.31633,                0.24698,                0.17204,                 1.2047,                 1.6143,                 1.7581,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.0136,                 1.0385,                 1.3702,                0.71892,                0.31394,                 0.2273,                0.15974,                 1.1837,                 1.9704,                 1.7625,             0.00077582,             0.00077582,             0.00077582
                     56,                0.99455,                 1.0393,                 1.3718,                0.75825,                0.33163,                 0.2466,                   0.17,                 1.2084,                 1.7932,                 1.8245,             0.00075932,             0.00075932,             0.00075932
                     57,                0.96815,                 1.0488,                 1.3716,                0.77855,                0.30102,                0.26838,                0.19129,                 1.2004,                 1.6771,                  1.848,             0.00074282,             0.00074282,             0.00074282
                     58,                0.97937,                 1.0129,                 1.3755,                0.75804,                0.31122,                0.26583,                0.18548,                 1.2073,                 1.5877,                 1.7933,             0.00072631,             0.00072631,             0.00072631
                     59,                0.98161,                0.99135,                 1.3684,                0.72562,                0.32653,                 0.2278,                0.14945,                 1.2812,                 1.8342,                 1.8706,             0.00070981,             0.00070981,             0.00070981
                     60,                0.98263,                 1.0342,                 1.3587,                0.72676,                0.31758,                0.24151,                 0.1549,                 1.2753,                   1.77,                 1.8897,             0.00069331,             0.00069331,             0.00069331
                     61,                0.98034,                0.98276,                 1.3511,                0.74979,                0.29082,                 0.2321,                 0.1513,                 1.2397,                 1.8786,                 1.8392,              0.0006768,              0.0006768,              0.0006768
                     62,                0.92695,                0.94644,                 1.3202,                0.73814,                0.28571,                0.24343,                0.16625,                 1.2006,                 1.6711,                 1.7928,              0.0006603,              0.0006603,              0.0006603
                     63,                0.96404,                0.95523,                 1.3276,                0.77681,                0.27551,                0.24046,                0.16215,                 1.2151,                 1.8374,                 1.8145,              0.0006438,              0.0006438,              0.0006438
                     64,                0.95413,                0.92959,                 1.3439,                0.23936,                0.32653,                0.24827,                 0.1615,                 1.2289,                 1.8039,                 1.8186,             0.00062729,             0.00062729,             0.00062729
                     65,                0.93674,                0.93207,                 1.3409,                0.78235,                0.28571,                0.26276,                0.18068,                 1.2874,                 1.6861,                 1.8621,             0.00061079,             0.00061079,             0.00061079
                     66,                0.91699,                0.90518,                 1.3131,                0.30308,                0.29841,                0.28189,                0.19322,                 1.2064,                 1.7075,                  1.795,             0.00059429,             0.00059429,             0.00059429
                     67,                0.93407,                0.91376,                 1.3344,                0.79568,                 0.2602,                0.26787,                0.18337,                 1.1765,                  1.584,                 1.8197,             0.00057778,             0.00057778,             0.00057778
                     68,                0.93375,                0.89436,                 1.3246,                0.78185,                0.29082,                 0.2576,                 0.1731,                 1.1791,                 1.6943,                 1.7938,             0.00056128,             0.00056128,             0.00056128
                     69,                0.91949,                0.89158,                 1.2998,                0.74736,                0.32653,                0.24863,                 0.1667,                 1.2111,                 1.7242,                 1.8344,             0.00054478,             0.00054478,             0.00054478
                     70,                0.90436,                0.86454,                 1.2936,                0.75802,                0.26531,                0.24495,                0.17284,                 1.1475,                 1.8077,                 1.7536,             0.00052827,             0.00052827,             0.00052827
                     71,                0.90656,                0.88547,                 1.2685,                0.71914,                0.30612,                0.24797,                0.17711,                 1.1729,                 1.8445,                 1.7742,             0.00051177,             0.00051177,             0.00051177
